№ 	English 	Old Church Slavonic 	Aryan	Czech 	Polish 	Slovak 	Lower Sorbian 	Upper Sorbian 	Bulgarian 	Macedonian 	Serbo-Croatian Latin 	Serbo-Croatian Cyrillic 	Slovene 	Belarusian 	Russian 	Rusyn 	Ukrainian														
1	I 	азъ (azŭ) 	je! yo ij ich ego ejo	já 	ja 	ja 	ja 	ja 	аз (az) 	јас (jas) 	ja 	ја 	jaz 	я (ja) 	я (ja) 	я (ja) 	я (ja)														
2	you	тꙑ (ty) 	thy thee Du	ty 																											
3	he 	онъ (onŭ), тъ (tŭ) 	on, man!	on 	on 	on 	wón 	wón 	той (toj) 	тој (toj) 	on 	он 	on 	ён (jón) 	он (on) 	он (on) 	він (vin)														
4	we 	мꙑ (my) 	mir, we	my 	my 	my 	my 	my 	ние (nie) 	ние (nie) 	mi 	ми 	mi 	мы (my) 	мы (my) 	мы (mŷ) 	ми (my)														
5	you	вꙑ (vy) 	vous!	vy 	wy 	vy 	wy 	wy 	вие (vie) 	вие (vie) 	vi 	ви 	vi 	вы (vy) 	вы (vy) 	вы (vŷ) 	ви (vy)														
6	they 	они (oni), ти (ti) 	on, man, die!	oni, ony, ona 	oni, one 	oni, ony 	wóni 	woni 	те (te) 	тие (tie) 	oni, one, ona 	они, оне, она 	oni, one, ona 	яны (jany) 	они (oni) 	вни (vny) 	вони (vony)														
7	this 	овъ (ovŭ), сь (sĭ) 	over(here?), ce, die, that, den	tento, tato, toto 	ten, ta, to 	tento, táto, toto 	to 	tón, ta, to 	този (tozi), тази (tazi), това (tova);																						
8	that 	тъ (tŭ), та (ta), то (to) 	da, der, das, dort, dem	tamten, tamta, tamto 	tamten, tamta, tamto 	ten, tá, to 	to 	tamny 	онзи (onzi), онази (onazi), онова (onova);																						
9	here 	сьдє (sĭde), овъдє (ovŭde) 	diese Seite? Da over-there?	zde, tady, tu, sem 	tutaj, tu 	tu, sem 	how 	jow, jowle, tu, tule 	тук (tuk) 	овде (ovde), тука (tuka) 	ovdje, ovde 	овдје, овде 	tu, tukaj 	тут (tut), тутака (tutaka) 	тут (tut), здесь (zdesʹ) 	ту (tu), гев (hev) 	тут (tut)														
10	there 	тоу (tu), онъдє (onŭde) 	da, der, das, dort, dem	tam 	tam 	tam 	tam 	tam 	там (tam) 	таму (tamu) 	tamo 	тамо 	tam 	там (tam) 	там (tam) 	ген (hen) гын (hŷn) 	там (tam)														
11	who 	къто (kŭto) 	qvod	kdo 	kto 	kto 	chto 	štó 	кой (koj) 	кој (koj) 	ko, tko 	ко, тко 	kdo 	хто (xto) 	кто (kto) 	хто (xto) 	хто (xto)														
12	what 	чьто (čĭto) 	qvod,qvid	co 	co 	čo 	co 	što 	какво (kakvo) 	што (što) 	šta, što 	шта, што 	kaj 	што (što) 	что (što) 	што (što) 	що (ščo)														
13	where 	къдє (kŭde) 	qwo.da	kde 	gdzie 	kde 	źo 	hdźe 	къде (kǎde) 	каде (kade) 	gde, gdje 	где, гдје 	kje 	дзе (dzje) 	где (gde) 	де (de) 	де (de)														
14	when 	къгда (kŭgda) 	kvando	kdy 	kiedy, gdy 	kedy 	gdy 	hdy 	кога (koga) 	кога (koga) 	kad 	кад 	kdaj 	калі (kali) 	когда (kogda) 	коли (koly) 	коли (koly)														
15	how 	како (kako), ꙗко (jako) 	Que-que?	jak 	jak 	ako 	kak 	kak 	как (kak) 	како (kako) 	kako 	како 	kako 	як (jak) 	как (kak) 	ги (hy) як (jak) 	як (jak)														
16	not 	нє (ne) 	NE!	ne, ne- 	nie 	nie, ne- 	nje- 	nje- 	не (ne) 	не (ne) 	ne 	не 	ne 	не (nje) 	не (ne) 	нї (nji) не (ne) 	не (ne)														
17	all 	вьсь (vĭsĭ) 	<<??	vše, všechno 	wszystko, wszystkie, wszyscy 	všetký, všetko 	wšyken 	wšo, wšitke, wšitcy 	всичко (vsičko) 	сѐ (sè) 	sve 	све 	vse 	увесь (uvjesʹ), усё (usjó), усе (usje) 	весь (vesʹ), всё (vsjo), все (vse) 	ушытко (ušŷtko) 	весь (vesʹ), (увесь (uvesʹ)), все (vse) (усе (use)), всі (vsi) (усі (usi))														
18	many 	мъногъ (mŭnogŭ) 	manige vs wenige,einige	mnoho 	mnóstwo, wiele 	mnoho, veľa 	wjele 	wjele 	много (mnogo) 	многу (mnogu) 	mnogo 	много 	mnogo, veliko 	шмат (šmat) 	много (mnogo) 	много (mnoho), велё (veljo) 	багато (bahato)														
19	some 	нѣколико (několiko) 	(ei)nige.lik	několik, pár, trocha 	trochę, kilka 	niekoľko 	někotary 	někotre 	няколко (njakolko) 	неколку (nekolku) 	nekoliko 	неколико 	nekoliko, nekaj 	некалькі (njekalʹki) 	несколько (neskolʹko) 	дaкілько (dakilʹko) 	декілька (dekilʹka), кілька (kilʹka)														
20	few 	малꙑ (maly) 	(s)mall! Non-nillo nit-viele!	málo, nemnoho 	mało, niewiele 	málo 	mało 	mało 	малко (malko), малцина (malcina) 	малку (malku), неколку (nekolku) 	malo 	мало 	malo 	мала (mala), няшмат (njašmat) 	мало (malo), немного (nemnogo) 	мало (malo) 	мало (malo), небагато (nebahato), трохи (troxy)														
21	other 	инъ (inŭ) 	1. anner 2. druid ?<<??	druhý, jiný 	inny 	druhý, iný, inakší 	drugi 	druhi 	друг (drug) 	друг (drug) 	drugi, ini 	други, ини 	drugi 	іншы (inšy) 	другой (drugoj), иной (inoj) 	другый (druhŷj), іншый (inšŷj), інакшый (inakšŷj) 	інший (inšyj), інакший (inakšyj)														
22	one 	ѥдинъ (jedinŭ) 	ein-jeden!	jeden 	jeden 	jeden 	jaden 	jedyn 	един (edin) 	еден (eden) 	jedan 	један 	en, eden 	адзін (adzin) 	один (odin) 	єден (jeden) 	один (odyn)														
23	two 	дъва (dŭva) 	dwa	dva 	dwa 	dvaja, dva, dve 	dwa 	dwaj 	две (dve) 	два (dva) 	dva 	два 	dve 	два (dva) 	два (dva) 	два (dva) 	два (dva)														
24	three 	триѥ (trije) 	triz	tři 	trzy 	traja, tri 	tśi 	tři 	три (tri) 	три (tri) 	tri 	три 	tri 	тры (try) 	три (tri) 	три (try) 	три (try)														
25	four 	чєтꙑрє (četyre) 	чєтꙑр!	čtyři 	cztery 	štyria, štyri 	styri 	štyri 	четири (četiri) 	четири (četiri) 	četiri 	четири 	štiri 	чатыры (čatyry) 	четыре (četyre) 	штири (štyry) 	чотири (čotyry)														
26	five 	пѧть (pętĭ) 	Пѧть pent’  ѧen:semen	pět 	pięć 	päť 	pěś 	pjeć 	пет (pet) 	пет (pet) 	pet 	пет 	pet 	пяць (pjacʹ) 	пять (pjatʹ) 	пять (pjatʹ) 	п'ять (pʺjatʹ)														
27	big 	вєликъ (velikŭ) 	viel!	velký 	wielki, duży 	veľký 	wjeliki 	wulki 	голям (goljam) 	голем (golem) 	velik 	велик 	velik 	вялікі (vjaliki) 	большой (bolʹšoj), великий (velikij) 	великый (velykŷj) 	великий (velykyj), чималий (čymalyj)														
28	long 	дльгъ (dlĭgŭ) 	delongo	dlouhý 	długi 	dlhý 	dłujki 	dołhi 	дълъг (dǎlǎg) 	долг (dolg) 	dug 	дуг 	dolg 	доўгі (doŭhi) 	длинный (dlinnyj), долгий (dolgij) 	довгый (dovhŷj) 	довгий (dovhyj)														
29	wide 	широкъ (širokŭ) 	Skope/reciproke reque proque	široký 	szeroki 	široký 	šyroki 	šěroki 	широк (širok) 	широк (širok) 	širok 	широк 	širok 	шырокі (šyroki) 	широкий (širokij) 	шырокый (šŷrokŷj) 	широкий (šyrokyj)														
30	thick 	дєбєлъ (debelŭ) 	<<??	tlustý, hrubý 	tłusty, gruby 	tlstý, tučný 	tłusty 	tołsty 	дебел (debel) 	дебел (debel), густ (gust) 	debeo 	дебео 	debel 	тоўсты (toŭsty) 	толстый (tolstyj), дебелый (debelyj), тучный (tučnyj) 	тлустый (tlustŷj) 	товстий (tovstyj), грубий (hrubyj), дебелий (debelyj)														
31	heavy 	тѧжькъ (tęžĭkŭ) 	dense+++ 𓂧 𓈖 𓋴 𓍖 𓊌	těžký 	ciężki 	ťažký 	śěžki 	ćežki 	тежък (težǎk) 	тежок (težok) 	težak 	тежак 	težek 	цяжкі (cjažki) 	тяжёлый (tjažólyj) тяжкий (tjažkij) 	тяжкый (tjažkŷj) 	важкий (važkyj)														
32	small 	малъ (malŭ) 	(s)mall!	malý 	mały 	malý 	mały 	mały 	малък (malǎk) 	мал (mal) 	mȃl 	ма̑л 	majhen 	маленькі (maljenʹki) 	маленький (malenʹkij), малый (malyj) 	малый (malŷj), дрібный (dribnŷj) 	маленький (malenʹkyj), малий (malyj)														
33	short 	кратъкъ (kratŭkŭ) 	kurtkc	krátký 	krótki 	krátky 	krotki 	krótki 	къс (kǎs) 	кус (kus), краток (kratok) 	kratak 	кратак 	kratek 	кароткі (karotki) 	короткий (korotkij), краткий (kratkij) 	короткый (korotkŷj), куртый (kurtŷj) 	короткий (korotkyj)														
34	narrow 	ѫзъкъ (ǫzŭkŭ) 	ENG! <<??  ѫзък	úzký 	wąski 	úzky 	wuski 	wuski 	тесен (tesen) 	тесен (tesen) 	uzak 	узак 	ozek 	вузкі (vuzki) 	узкий (uzkij) 	узкый (uzkŷj) 	вузький (vuzʹkyj)														
35	thin 	тьнъкъ (tĭnŭkŭ) 	thin.que ! <<++	tenký 	cienki 	tenký 	śańki 	ćeńki 	тънък (tǎnǎk) 	тенок (tenok) 	tanak 	танак 	tanek 	тонкі (tonki) 	тонкий (tonkij) 	тонкый (tonkŷj) 	тонкий (tonkyj)														
36	woman 	жєна (žena) 	gyna zena! <<	žena 	kobieta 	žena 	žeńska 	žona 	жена (žena) 	жена (žena) 	žena 	жена 	ženska 	жанчына (žančyna) 	женщина (ženščina) 	жена (žena) 	жінка (žinka)														
37	man	мѫжь (mǫžĭ) 	manžel++ Mensch <> ѫ eng!	mężczyzna 	muž 	muski 	muž, muski 	мъж (mǎž) 	маж (maž) 	muškarac 	мушкарац 	moški 	мужчына (mužčyna) 	мужчина (mužčina) 	муж (muž) 	мужчина (mužčyna), чoловiк (čolovik), муж (muž), мужик (mužyk)															
38	human	чловѣкъ (člověkŭ) 	<<?? kleute? ≠ Clovis	człowiek 	človek 	luź 	čłowjek 	човек (čovek) 	човек (čovek) 	čovek, čovjek 	човек, човјек 	človek 	чалавек (čalavjek) 	человек (čelovek) 	чoловiк (čolovik) 	людина (ljudyna)															
39	(a youth) 	дѣть (dětĭ), отрокъ (otrokŭ) 	<> dimu!!	dítě 																											
40	wife 	жєна (žena) 	gyna zena! <<	žena,																											
40	wife 	manželka, choť 	manžel.qua << ! +	žeńska, żona, małżonka 	mandźelska, žona 	съпруга (sǎpruga), жена (žena) 	сопруга (sopruga)	supruga, žena 	супруга, жена 	soproga, žena 	жонка (žonka) 	жена (žena), супруга (supruga) 	жона (žona) 	дружина (družyna), жінка (žinka)																	
41	husband 	мѫжь (mǫžĭ) 	manz Mensch <> ѫ eng!	muž,																											
41	husband 	manžel, choť 	manz Mensch <> ѫ eng!	cłowjek, mąż  	mandźelski, muž 	съпруг (sǎprug), мъж (mǎž) 	маж (maž), сопруг (soprug) 	muž, suprug 	муж, супруг 	mož, soprog 	муж (muž) 	муж (muž), супруг (suprug) 	муж (muž), манжел (manžel) 	муж (muž), чоловік (čolovik)																	
42	mother 	мати (mati) 	✔	matka, máma, arch. mateř 	matka 	matka, mama, mať 	maś 	mać 	майка (majka) 	мајка (majka) 	majka, mati 	мајка, мати 	mati 	маці (maci) 	мать (matʹ), матерь (materʹ) 	мати (maty), матїрь (matjirʹ), мама (mama) 	мати (maty), матiр (matir), ненька (nenʹka)														
43	father 	отьць (otĭcĭ) 	(ph)otec!	otec 	ojciec 	otec 	nan 	nan 	баща (bašta) 	татко (tatko) 	otac 	отац 	oče 	бацька (bacʹka), тата (tata) 	отец (otec), батька (batʹka) 	отець (otecʹ), нянё (njanjo), нянько (njanʹko) 	батько (batʹko), тато (tato)														
44	animal 	звѣрь (zvěrĭ) 	Dzeri 𓄛 tvier zwerg!?! <<	zvíře 	zwierzę 	živočích, zviera 	zwěrje 	zwěrjo 	животно (životno) 	животно (životno) 	životinja, zver, zvijer 	животиња, звер, звијер 	žival, zver 	жывёла (žyvjóla), жывёліна (žyvjólina), звер (zvjer) 	зверь (zverʹ), животное (životnoje) 	звіря (zvirja), жывина (žŷvyna) 	звір (zvir), тварина (tvaryna)														
45	fish 	рꙑба (ryba) 	@river!	ryba 	ryba 	ryba 	ryba 	ryba 	риба (riba) 	риба (riba) 	riba 	риба 	riba 	рыба (ryba) 	рыба (ryba) 	рыба (rŷba) 	риба (ryba)														
46	bird 	пътица (pŭtica) 	𓅓pt!	pták 	ptak 	vták 	ptašk 	ptačk, ptak 	птица (ptica) 	птица (ptica) 	ptica 	птица 	ptica 	птушка (ptuška) 	птица (ptica), птаха (ptaxa) (poetic) 	птах (ptax) 	птах (ptax), птаха (ptaxa)														
47	dog 	пьсъ (pĭsŭ) 	<<??	pes 	pies 	pes 	pjas 	psyk 	куче (kuče), пес (pes) 	куче (kuče), пес (pes) 	pas 	пас 	pes 	сабака (sabaka) 	собака (sobaka), пёс (pjos) 	пес (pes) 	собака (sobaka), пес (pes)														
48	louse 	въшь (vŭšĭ) 	le’vus = Laus ++	veš 	wesz 	voš 	weš 	woš 	въшка (vǎška) 	вошка (voška) 	uš, vaš 	уш, ваш 	uš 	вош (voš) 	вошь (vošʹ) 	уша (uša) 	воша (voša)														
49	snake 	змиꙗ (zmija) 	𓎛 𓆑 𓄿 𓅂 hvad! Pyth=wuž ++	had, zmije (only one particular species) 	wąż 	had 	wuž 	had 	змия (zmija) 	змија (zmija) 	zmija 	змија 	kača 	змяя (zmjaja) 	змея (zmeja), уж (už), гадюка (gadjuka), гад (had) (obsolete) 	гад (had) 	гадюка (hadjuka), вуж (vuž), змія (zmija), гад (had) (obsolete)														
50	worm 	чрьвь (črĭvĭ) 	<> crawl krümm змиꙗ	červ 	robak, czerw 	červ, červík 	wužeńc, cerw 	waka, čerw 	червей (červej) 	црв (crv) 	crv 	црв 	črv 	чарвяк (čarvjak) 	червь (červʹ), червяк (červjak) 	червяк (červjak) 	черв'як (červʺjak), хробак (xrobak)														
51	tree 	дрѣво (drěvo) tree	Eischtrom / Baum:bom,bór.um	strom 	drzewo 	strom 	bom 	štom 	дърво (dǎrvo) 	дрво (drvo) 	drvo 	дрво 	drevo 	дрэва (dreva) 	дерево (derevo) 	дерево (derevo), стром (strom), стрім (strim) 	дерево (derevo)														
52	forest 	лѣсъ (lěsŭ) 	lerche 林 línde , bór.ma	les 	las, bór 	les 	góla, lěs 	lěs 	гора (gora), лес (les), шума (šuma) 	шума (šuma) 	šuma, gora 	шума, гора 	gozd 	лес (ljes) 	лес (les) 	лïс (lïs) 	ліс (lis), діброва (dibrova)														
53	stick (wood)	палица (palica) 	Brett?	patyk, pręt, pałka, hůl, klacek, prut, kůl, pálka 	palica, tyč 	kij 	kij 	палка (palka), пръчка (prǎčka), бастун (bastun) 	стап (stap), прачка (pračka) 	prut, palica 	прут, палица 	palica 	кій (kij), палка (palka) 	палка (palka) 	паліця (palicja) 	палиця (palycja), палка (palka), патик (patyk), прут (prut)															
54	fruit 	овощє (ovošte) 	phruit->płód ovus:ei?	ovoce, plod 	owoc 	ovocie 	płod 	płód 	плод (plod), овошка (ovoška) 	овошје (ovošje), плод (plod) 	voće, plod 	воће, плод 	sadje, plod 	садавіна (sadavina) 	фрукт (frukt), плод (plod) 	овоцина (ovocyna) 	фрукт (frukt), плід (plid) (also vegetable), овоч (ovoč)														
55	seed 	сѣмѧ (sěmę) 	Semen ѧen:pent 5	semeno, arch. sémě 	nasienie, nasiono, siemię 	semeno 	semje 	symjo 	семе (seme) 	семе (seme) 	seme, sjeme 	семе, сјеме 	seme 	насеньне (nasjenʹnje) 	семя (semja), семена (semena) 	насїня (nasjinja) 	насіння (nasinnja), сiм'я (simʺja) (rare)														
56	leaf 	листъ (listŭ) 	Leaf ~ листъ (listŭ) Laubest	list 	liść 	list 	list 	lisćo 	лист (list) 	лист (list) 	list 	лист 	list 	ліст (list) 	лист (list) 	лист (lyst) 	лист (lyst)														
57	root 	корєнь (korenĭ) 	CORE ++	kořen 	korzeń 	koreň 	kórjeń 	korjeń 	корен (koren) 	корен (koren) 	koren, korijen 	корен, коријен 	koren 	корань (koranʹ) 	корень (korenʹ) 	корїнь (korjinʹ) 	корінь (korinʹ), коріння (korinnja), кореневище (korenevyšče)														
58	bark (of tree)	кора (kora) 	Kore <> kreis	kora 	kôra 	škóra 	skora 	кора (kora) 	кора (kora) 	kora 	кора 	skorja 	кара (kara) 	кора (kora) 	кора (kora) 	кора (kora)															
59	flower 	цвѣтъ (cvětŭ) 	<<?? ≠ quitten	květ 	kwiat 	kvet 	kwětk 	kwětka 	цвете (cvete) 	цвет (cvet) 	cvet, cvijet 	цвет, цвијет 	cvet 	кветка (kvjetka) 	цветок (cvetok) 	квiтка (kvitka) 	квітка (kvitka)														
60	grass 	трава (trava) 	<<??	tráva 	trawa 	tráva 	tšawa 	trawa 	трева (treva) 	трева (treva) 	trava 	трава 	trava 	трава (trava) 	трава (trava) 	трава (trava) 	трава (trava)														
61	rope 	вервь (vervĭ) 	line, Schnur, powród/powrópe ?	lano, provaz, šňůra 	sznur, lina, powróz 	lano, povraz, šnúra 	powrjoz 	powjaz 	въже (vǎže) 	јаже (jaže), коноп (konop) 	uže, konopac, kanap 	уже, конопац, канап 	vrv 	вяроўка (vjaroŭka), шнур (šnur) 	верёвка (verjóvka), шнур (šnur) 	шпарґа (šparga), шнура (šnura) 	шнур (šnur), мотуз (motuz), вiрьoвка (virʹovka)														
62	skin	кожа (koža) 	skinze s’kore <<> secure bark	skóra 	koža 	kóža 	koža 	кожа (koža) 	кожа (koža) 	koža 	кожа 	koža 	скура (skura) 	кожа (koža), шкура (škura) (colloquial) 	скора (skora) 	шкіра (škira)															
63	meat (as in flesh) 	мѧсо (męso) 	meatho~messo <> eat munch ѧ	maso 	mięso 	mäso 	měso 	mjaso 	месо (meso) 	месо (meso) 	meso 	месо 	meso 	мяса (mjasa) 	мясо (mjaso) 	мясо (mjaso), мнясо (mnjaso) 	м'ясо (mʺjaso)														
64	blood 	крꙑ (kry), руда (ruda) 	Kyrota <<	krev 	krew 	krv 	kšej 	krej 	кръв (krǎv) 	крв (krv) 	krv 	крв 	kri 	кроў (kroŭ) 	кровь (krovʹ) 	кров (krov) 	кров (krov)														
65	bone 	кость (kostĭ) 	Kosteo ++ <> mEat	kost 	kość 	kosť 	kósć 	kósć 	кост (kost), кокал (kokal) 	коска (koska) 	kost 	кост 	kost 	костка (kostka) 	кость (kostʹ) 	кість (kistʹ), кістка (kistka) 	кість (kistʹ), кістка (kistka)														
66	fat(noun) 	тоукъ (tukŭ) 	𓎙 𓂧 𓏌 𓏥 ?	tuk, sádlo, maz 	tłuszcz, sadło 	sadlo, tuk 	tucne 	tuk 	мазнина (maznina) 	маст (mast), сало (salo) 	debljina, salo 	дебљина, сало 	maščoba, salo 	тлушч (tlušč) 	жир (žir), сало (salo) 	жыр (žŷr), смар (smar) 	жир (žyr), сало (salo), смалeць (smalecʹ)														
67	egg 	аицє (aice) 	Vejjaune <<	vejce 	jajko 	vajce 	jajo 	jejo 	яйце (jajce) 	јајце (jajce) 	jaje 	јаје 	jajce 	яйка (jajka) 	яйцо (jajco) 	яйце (jajce) 	яйце (jajce)														
68	horn 	рогъ (rogŭ) 	<<?? +?	roh 	róg 	roh 	rog 	róh 	рог (rog) 	рог (rog) 	rog 	рог 	rog 	рог (roh) 	рог (rog) 	ріг (rih) 	ріг (rih)														
69	tail 	опашъ (opašŭ), хвостъ (xvostŭ) 	schanzt, wopuš?	ocas, ohon, chvost 	ogon 	chvost 	wogon 	wopuš 	опашка (opaška) 	опашка (opaška) 	rep 	реп 	rep 	хвост (xvost) 	хвост (xvost) 	хвіст (xvist) 	хвіст (xvist)														
70	feather 	перїе (perie) 	Ptero ++	pero 	pióro 	pero 	pjero 	pjerjo 	перо (pero) 	перо (pero) 	pero 	перо 	pero 	пяро (pjaro) 	перо (pero) 	перо (pero) 	перо (pero), пір'їна (pirʺjina)														
71	hair 	власъ (vlasŭ) 	Flausen, Flusen, Fusseln ++	vlasy 	włosy 	vlasy 	włose 	włosy 	коса (kosa), косъм (kosǎm) 	коса (kosa), влакно (vlakno) 	kosa, vlas 	коса, влас 	lasje 	валасы (valasy) 	волосы (volosy), космы (kosmy), коса (kosa) 	волося (volosja), волосы (volosŷ) 	волосся (volossja), коси (kosy)														
72	head 	глава (glava) 	голова (gholova) <> glauben << 	hlava 	głowa 	hlava 	głowa 	hłowa 	глава (glava) 	глава (glava) 	glava 	глава 	glava 	галава (halava) 	голова (golova) 	голова (holova) 	голова (holova)														
73	ear 	оухо (uxo) 	ohear	ucho 	ucho 	ucho 	wucho 	wucho 	ухо (uho) 	уво (uvo) 	uvo, uho 	уво, ухо 	uho 	вуха (vuxa) 	ухо (uxo) 	ухо (uxo) 	вухо (vuxo)														
