‚Ññ 	English 	Old Church Slavonic 	Aryan	Czech 	Polish 	Slovak 	Lower Sorbian 	Upper Sorbian 	Bulgarian 	Macedonian 	Serbo-Croatian Latin 	Serbo-Croatian Cyrillic 	Slovene 	Belarusian 	Russian 	Rusyn 	Ukrainian														
74	eye 	око (oko) 	oykul.us	oko 	oko 	oko 	woko 	wóčko 	око (oko) 	око (oko) 	oko 	око 	oko 	вока (voka) 	глаз (glaz), око (oko) (poetic) 	око (oko) 	око (oko)														
75	nose 	носъ (nosŭ) 	✔	nos 	nos 	nos 	nos 	nós 	нос (nos) 	нос (nos) 	nos 	нос 	nos 	нос (nos) 	нос (nos) 	ніс (nis) 	ніс (nis)														
76	mouth 	оуста (usta) 	Mousta / pusta / ghuba / rot!	ústa, pusa, huba (expr.) 	usta 	ústa 	guba 	huba 	уста (usta) 	уста (usta) 	usta 	уста 	usta 	рот (rot), вусны (vusny) 	рот (rot), уста (usta) (poetic) 	уста (usta), рот (rot) 	рот (rot), вуста (vusta), уста (usta), губа (huba)														
77	tooth (rather not molar) 	зѫбъ (zǫbŭ) 	Zahnbe ++ << 7? ∑∑	zub 	ząb 	zub 	zub 	zub 	зъб (zǎb) 	заб (zab) 	zub 	зуб 	zob 	зуб (zub) 	зуб (zub) 	зуб (zub) 	зуб (zub)														
78	tongue 	ѩзꙑкъ (językŭ) 	JaZynge <<	jazyk 	język 	jazyk 	jězyk 	jazyk 	език (ezik) 	јазик (jazik) 	jezik 	језик 	jezik 	язык (jazyk) 	язык (jazyk) 	язык (jazŷk) 	язик (jazyk)														
79	fingernail 	ногъть (nogŭtĭ) 	NagelTi	nehet 	paznokieć 	necht 	nokś 	nochć 	нокът (nokǎt) 	нокт (nokt) 	nokat 	нокат 	noht 	пазногаць (paznohacʹ) 	ноготь (nogotʹ) 	нохоть (noxotʹ) 	ніготь (nihotʹ)														
80	foot 	стопа (stopa) 	stoPA posD !!! << stamp,stop,…	noha, chodidlo, stopa 	stopa 	chodidlo 	noga 	noha 	крак (krak), стъпало (stǎpalo) 	стапало (stapalo) 	stopa, stopalo 	стопа, стопало 	stopalo 	ступня (stupnja) 	стопа (stopa), ступня (stupnja) 	стопа (stopa) 	стопа (stopa), ступня (stupnja)														
81	leg 	нога (noga) 	<<?? !!	noha 	noga 	noha 	noga 	noha 	крак (krak) 	нога (noga) 	noga 	нога 	noga 	нага (naha) 	нога (noga) 	нога (noha) 	нога (noha)														
82	knee 	колѣно (kolěno) 	Gelenk++ <> Geangle !!!	koleno 	kolano 	koleno 	kóleno 	koleno 	коляно (koljano) 	колено (koleno) 	koleno, koljeno 	колено, кољено 	koleno 	калена (kaljena) 	колено (koleno) 	колїно (koljino) 	коліно (kolino)														
83	hand 	рѫка (rǫka) 	reichen!! 𓂋𓂞𓂝 	ruka, dlaň 	ręka, dłoń 	ruka 	ruka 	ruka 	ръка (rǎka) 	рака (raka) 	ruka 	рука 	roka 	рука (ruka), далонь (dalonʹ) 	рука (ruka), ладонь (ladonʹ) 	рука (ruka) 	рука (ruka), долоня (dolonja)														
84	wing 	крило (krilo) 	<<??	křídlo 	skrzydło 	krídlo 	kśidło 	křidło 	крило (krilo) 	крило (krilo) 	krilo 	крило 	krilo 	крыло (krylo) 	крыло (krylo) 	крыло (krŷlo) 	крило (krylo)														
85	belly 	чрѣво (črěvo) 	𓄡 skrotum crevice? Bruch:Bauch!?	břicho 	brzuch 	brucho 	brjuch 	brjuch 	корем (korem) 	стомак (stomak) 	trbuh, stomak 	трбух, стомак 	trebuh 	жывот (žyvot) 	живот (život), брюхо (brjuxo) (coll.), пузо (puzo) (coll.) 	черево (čerevo), бріх (brix) 	живіт (žyvit), черево (čerevo), пузо (puzo)														
86	guts 	ѫтроба (ǫtroba), чрѣво (črěvo) 	<<??	vnitřnosti, útroby 	wnętrzności 	vnútornosti 	crjowo 	črjewa 	вътрешности (vǎtrešnosti) 	црева (creva) 	creva, utroba, crijeva 	црева, утроба, цријева 	drobovje 	вантробы (vantroby) 	внутренности (vnutrennosti), кишки (kiški), утроба (utroba), чрево (črevo) 	кышкы (kŷškŷ), флякы (fljakŷ) 	нутрощі (nutrošči), кишки (kyšky), черево (čerevo), потрох (potrox)														
87	neck 	шїѧ (šię) 	<<?? sinus?	krk, šíje 	szyja, kark 	krk 	šyja 	šija 	врат (vrat), шия (šija) 	врат (vrat), шија (šija) 	vrat 	врат 	vrat 	шыя (šyja) 	шея (šeja) 	шыя (šŷja) 	шия (šyja)														
88	back 	хребетъ (xrebetŭ) 	<<?? !! ?	záda, hřbet 	plecy, grzbiet 	chrbát 	kśebjat 	chribjet 	гръб (grǎb) 	грб (grb) 	leđa, hrbat 	леђа, хрбат 	hrbet 	спіна (spina) 	спина (spina), хребет (xrebet) (coll.) 	хырбет (xŷrbet) 	спина (spyna)														
89	breast 	прьси (prĭsi) 	Brüste✔ nadro!✔	prs, hruď, ňadro 	pierś 	prsia 	bok 	hrudź 	гръд (grǎd) 	града (grada) 	prsa, grudi 	прса, груди 	prsi, grudi 	грудзі (hrudzi) 	грудь (grudʹ), перси (persi) (poetic) 	груди (hrudy) 	груди (hrudy)														
90	heart 	срьдьцє (srĭdĭce) 	<<?? srdc~cat <<	srdce 	serce 	srdce 	wutšoba 	wutroba 	сърце (sǎrce) 	срце (srce) 	srce 	срце 	srce 	сэрца (serca) 	сердце (serdce) 	сердце (serdce) 	серце (serce)														
91	liver 	játra 	<<??	játra 	wątroba 	pečeň 	jětša 	jatra 	черен дроб (čeren drob) 	џигер (džiger), црн дроб (crn drob) 	jetra 	јетра 	jetra 	печань (pječanʹ) 	печень (pečenʹ) 	печунка (pečunka) 	печінка (pečinka)														
92	to drink 	пити (piti) 	<<?? <> buteille	pít 	pić 	piť 	piś 	pić 	пия (pija) 	пие (pie) 	piti 	пити 	piti 	піць (picʹ) 	пить (pitʹ) 	пити (pyty) 	пити (pyty)														
93	to eat 	ꙗсти (jasti) 	~!? ꙗсти (jasti) : eat 	jíst 	jeść 	jesť 	jěsć 	jěsć 	храня се (hranja se), ям (jam) 	јаде (jade) 	jesti 	јести 	jesti 	есці (jesci) / есьці (jesʹci) 	есть (jestʹ), кушать (kušatʹ) 	їсти (jisty) 	їсти (jisty)														
94	to bite 	хапати (xapati) 	abbeithen / --	kousat, hryzat 	gryźć, kąsać 	hrýzť, uhryznúť 	kusaś 	kusać 	хапя (hapja) 	каса (kasa), гриз (griz) 	gristi 	гристи 	gristi 	кусаць (kusacʹ), грызьці (hryzʹci) 	грызть (gryztʹ), кусать (kusatʹ) 	кусати (kusaty), грызти (hrŷzty) 	кусати (kusaty), гризти (hryzty), шматувати (šmatuvaty)														
95	to suck 	съсати (sŭsati) 	sucat <> s’cat !?	sát, cucat 	ssać 	sať, cicať 	cycaś 	cycać 	суча (suča), смуча (smuča) 	цица (cica) 	sisati 	сисати 	sesati 	сасаць (sasacʹ), смактаць (smaktacʹ) 	сосать (sosatʹ) 	ссати (ssaty) 	смоктати (smoktaty), ссати (ssaty)														
96	to spit 	пльвати (plĭvati) 	s’plivt = spit s’pluc=spuck ++	plivat 	pluć 	pľuvať 	pluwaś 	pluwać 	плюя (pljuja) 	плука (pluka) 	pljuvati 	пљувати 	pljuvati 	пляваць (pljavacʹ) 	плевать (plevatʹ), плюнуть (pljunutʹ) 	плювати (pljuvaty) 	плювати (pljuvaty), плюнути (pljunuty)														
97	to vomit 	бльвати (blĭvati) 	/	zvracet, blít, dávit 	wymiotować 	zvracať, dáviť, spôsobiť dávenie 	bluwaś 	wróćeć, bluwać 	повръщам (povrǎštam) 	повраќа (povraḱa), блуе (blue) 	povraćati, bljuvati 	повраћати, бљувати 	bruhati, bljuvati 	ванітаваць (vanitavacʹ) 	рвать (rvatʹ), блевать (blevatʹ) 	блювати (bljuvaty) 	блювати (bljuvaty), вирвати (vyrvaty)														
98	to blow (as wind) 	доухати (duxati) 	<<?? cucat ?	foukat, vanout, vít 	wiać, dąć 	fúkať 	duś 	duć 	духам (duham) 	дува (duva) 	duvati, puhati 	дувати, пухати 	pihati 	дзьмуць (dzʹmucʹ) 	дуть (dutʹ) 	дути (duty) 	дмухати (dmuxaty), дути (duty), віяти (vijaty)														
99	to breathe 	дꙑхати (dyxati) 	<<?? ^^	dýchat 	oddychać 	dýchať 	dychaś 	dychać 	дишам (dišam) 	дише (diše), вдишува (vdišuva) 	disati 	дисати 	dihati 	дыхаць (dyxacʹ) 	дышать (dyšatʹ) 	дыхати (dŷxaty) 	дихати (dyxaty)														
100	to laugh 	смиꙗти (smijati) 	≠ schmertze ;)	smát se 	śmiać się 	smiať sa 	smjaś se 	smjeć so 	смея се (smeja se) 	смее (smee) 	smejati, smijati 	смејати, смијати 	smejati 	смяяцца (smjajacca) / сьмяяцца (sʹmjajacca) 	смеяться (smejatʹsja) 	сміяти ся (smijaty sja) 	сміятися (smijatysja)														
101	to see 	видѣти (viděti) 	video!	vidět 	widzieć 	vidieť 	wiźeś 	widźeć 	виждам (viždam) 	гледа (gleda) 	videti, vidjeti 	видети, видјети 	videti 	бачыць (bačycʹ) 	видеть (videtʹ) 	відїти (vidjity) 	бачити (bačyty), видіти (vydity)														
102	to hear 	слꙑшати (slyšati) 	<<??	slyšet 	słyszeć 	mať sluch, čuť, počuť 	słyšaś 	słyšeć 	чувам (čuvam) 	слуша (sluša) 	slušati, čuti 	слушати, чути 	slišati, čuti 	чуць (čucʹ) 	слышать (slyšatʹ) 	чути (čuty) 	чути (čuty)														
103	to know (a fact) 	вѣдѣти (věděti), знати (znati) 	video/wisse/  𓆙 znat! gnost	vědět, znát 	wiedzieć 	vedieť 	wěźeś 	wědźeć 	зная (znaja) 	знае (znae) 	znati 	знати 	vedeti 	ведаць (vjedacʹ) 	знать (znatʹ), вeдaть (vedatʹ) (obsolete) 	знати (znaty) 	знати (znaty), вiдaти (vidaty) (obsolete)														
104	to think 	мꙑслити (mysliti) 	<<?? mislead;) 𓆼	myslet, dumat 	myśleć, dumać 	myslieť 	mysliś 	myslić 	мисля (mislja) 	мисли (misli), помислува (pomisluva) 	misliti 	мислити 	misliti 	думаць (dumacʹ) 	думать (dumatʹ), мыслить (myslitʹ) 	думати (dumaty) 	думати (dumaty), мислити (myslyty)														
105	to smell (sense odor) 	čichat, cítit 	<<?? <> shit;)	čichat, cítit 	wąchać, czuć 	cítiť 	cuś, wucuś 	čuć 	помирисвам (pomirisvam) 	мириса (mirisa), смрди (smrdi) 	mirisati, njušiti 	мирисати, њушити 	duhati 	нюхаць (njuxacʹ) 	нюхать (njuxatʹ), чуять (čujatʹ) 	нюхати (njuxaty) 	нюхати (njuxaty)														
106	to fear 	боꙗти (bojati) 	<<??	bát se, strachovat se 	bać się 	báť sa 	bójaś se 	bojeć so 	боя се (boja se), страхувам се (strahuvam se) 	плаши (plaši) 	bojati, strahovati 	бојати, страховати 	bati 	баяцца (bajacca) 	бояться (bojatʹsja), страшиться (strašitʹsja) 	бояти ся (bojaty sja) 	боятися (bojatysja), злякатися (zljakatysja)														
107	to sleep 	съпати (sŭpati) 	<> spät !?	spát 	spać 	spať 	spaś 	spać 	спя (spja) 	спие (spie) 	spavati 	спавати 	spati 	спаць (spacʹ) 	спать (spatʹ), почивать (počivatʹ) (poetic) 	спати (spaty) 	спати (spaty), вiдпочивaти (vidpočyvaty)														
108	to live 	жити (žiti) 	zankt zi’t  живея živeja livie	žít 	żyć 	žiť 	žywy byś 	živy być 	живея (živeja) 	живее (živee) 	živeti, živjeti 	живети, живјети 	živeti 	жыць (žycʹ) 	жить (žitʹ) 	жыти (žŷty) 	жити (žyty)														
109	to die 	оумрѣти (umrěti) 	𓅓𓏱𓏏 !! umirati !! umbringen?	umírat, umřít 	umierać, umrzeć 	umierať 	wumrěś 	wumrěć 	умирам (umiram) 	умира (umira) 	umreti, umrijeti 	умрети, умријети 	umreti 	паміраць (pamiracʹ) 	умирать (umiratʹ) 	умерати (umeraty) 	помирати (pomyraty), вмирати (vmyraty)														
110	to kill 	оубити (ubiti) 	Obituary ! z’habit? <<	zabít, usmrtit 	zabić, uśmiercić 	zabiť, usmrtiť 	wusmjerśiś, kóńcowaś 	zabić, kóncować 	убивам (ubivam) 	убива (ubiva) 	ubiti 	убити 	ubiti 	забіваць (zabivacʹ) 	убивать (ubivatʹ), забивать (zabivatʹ) 	забити (zabyty) 	вбивати (vbyvaty), зaбити (zabyty)														
111	to fight 	брати (brati) 	<<??	bojovat, válčit 	walczyć, bić się 	bojovať, zápasiť 	wójowaś 	wojować 	бия се (bija se) 	бори (bori), бие (bie) 	boriti, bojevati 	борити, бојевати 	boriti 	біцца (bicca), змагацца (zmahacca) 	бороться (borotʹsja), биться (bitʹsja), воевать (vojevatʹ) 	боёвати (bojovaty) 	боротися (borotysja), битися (bytysja)														
112	to hunt (transitive) 	ловити (loviti) 	<> laufen?	lovit 	polować 	loviť, byť na love 	góńtwowaś 	hońtwjerić 	ловувам (lovuvam) 	ловува (lovuva) 	loviti 	ловити 	loviti 	паляваць (paljavacʹ) 	ловить (lovitʹ), охотиться (oxotitʹsja) 	ловити (lovyty) 	полювати (poljuvaty)														
113	to hit 	оударити (udariti) 	<<??	udeřit 	uderzyć 	udrieť 	biś, deriś 	bić 	удрям (udrjam) 	удира (udira), чука (čuka) 	udariti 	ударити 	udariti 	ударыць (udarycʹ) 	ударить (udaritʹ) 	ударити (udaryty) 	вдарити (vdaryty)														
114	to cut 	сѣщи (sěšti), рѣзати (rězati) 	<<??	řezat, tít/tnout, síci 	ciąć, rżnąć 	ťať, rezať, sekať 	rězaś 	rězać 	режа (reža) 	сече (seče), реже (reže) 	rezati, seći, sjeći 	резати, сећи, сјећи 	rezati 	рэзаць (rezacʹ) 	резать (rezatʹ), рубить (rubitʹ), сечь (sečʹ) (arch.) 	рїзати (rjizaty) 	різати (rizaty)														
115	to split 	rozdělit 	rotzen;)	rozdělit 	rozdzielić 	deliť 	kłojś 	šćěpić, pačić 	цепя (cepja), разделям (razdeljam) 	поделува (podeluva), расцепува (rascepuva) 	pod(ij)eliti, razd(ij)eliti, rasc(ij)epiti 	под(иј)елити, разд(иј)елити, расц(иј)епити 	razcepiti, razdeliti 	разьдзяляць (razʹdzjaljacʹ) 	разделить (razdelitʹ) 	роздїлити (rozdjilyty) 	розділяти (rozdiljaty), розпиняти (rozpynjaty)														
116	to stab (or stick) 	бости (bosti) 	<> push?	bodnout, píchnout 	pchnąć 	bodať, bodnúť 	štapaś 	štapać 	промушвам (promušvam) 	убодува (uboduva) 	ubosti 	убости 	zabosti 	калоць (kalocʹ) 	бодать (bodatʹ), уколоть (ukolotʹ), кольнуть (kolʹnutʹ), пырнуть (pyrnutʹ) (coll.) 	колоти (koloty) 	колоти (koloty), пiрнути (pirnuty)														
117	to scratch (an itch) 	чєсати (česati) 	<<??	škrábat, drápat 	drapać, skrobać 	škriabať 	drapaś 	drapać 	чеша (češa) 	гребе (grebe), чеша (češa) 	češati 	чешати 	škrabati 	драпаць (drapacʹ) 	царапать (carapatʹ), скрябать (skrjabatʹ), чесать (česatʹ) 	шкрябати (škrjabaty) 	дряпати (drjapaty), царапати (carapaty), шкрябати (škrjabaty), чесати (česaty)														
118	to dig 	копати (kopati) 	<<??	kopat 	kopać 	kopať 	ryś 	ryć, kopać 	копая (kopaja) 	копа (kopa) 	kopati 	копати 	kopati 	капаць (kapacʹ), рыць (rycʹ) 	копать (kopatʹ), рыть (rytʹ) 	копати (kopaty) 	копати (kopaty), pити (pyty)														
119	to swim 	плавати (plavati) 	~ 	plavat 	pływać 	plávať 	plěś 	płuwać 	плувам (pluvam) 	плива (pliva) 	plivati 	пливати 	plavati 	плыць (plycʹ), плаваць (plavacʹ) 	плыть (plytʹ), плавать (plavatʹ) 	плавати (plavaty) 	пливти (plyvty), плавати (plavaty)														
120	to fly 	лєтѣти (letěti) 	Levitate !! ++	letět 	lecieć, latać 	letieť 	leśeś 	lećeć, lětać 	летя (letja) 	лета (leta) 	leteti, letjeti 	летети, летјети 	leteti 	лятаць (ljatacʹ), ляцець (ljacjecʹ), лётаць (ljótacʹ) 	летать (letatʹ), лететь (letetʹ) 	летїти (letjity) 	летіти (letity), літати (litaty)														
121	to walk 	ходити (xoditi) 	<<?? jire,jit!	jít, kráčet, chodit 	iść, chodzić 	ísť, chodiť 	hyś 	hić, chodźić 	вървя (vǎrvja) 	шета (šeta), оди (odi) 	hodati 	ходати 	hoditi 	ісці (isci) / ісьці (isʹci), хадзіць (xadzicʹ) 	ходить (xoditʹ), идти (idti) 	ходити (xodyty) 	йти (jty) (іти (ity)) , ходити (xodyty)														
122	to come 	přijít 	~ << jire,jit!	přijít 	przychodzić, przyjść 	prísť, dôjsť 	pśiś 	přińć, přijěć, dóńć 	идвам (idvam) 	доаѓа (doaǵa) 	doći 	доћи 	priti 	прыходзіць (pryxodzicʹ), прыйсці (pryjsci) / прыйсьці (pryjsʹci) 	приходить (prixoditʹ), прийти (prijti) 	прийти (pryjty) 	приходити (pryxodyty), прийти (pryjty)														
123	to lie (as on one's side) 	лєжати (ležati) 	liezet lieget lassen lesen !! ++	ležet 	leżeć 	ležať 	lažaś 	ležeć 	лежа (leža) 	леже (leže) 	ležati 	лежати 	ležati 	ляжаць (ljažacʹ) 	лежать (ležatʹ) 	лежати (ležaty) 	лежати (ležaty)														
124	to sit 	сѣдѣти (sěděti) 	Sedate ++	sedět 	siedzieć 	sedieť 	sejźeś 	sedźeć 	седя (sedja) 	седи (sedi) 	s(j)esti, sjediti, sedeti 	с(ј)ести, сједити, седети 	sesti, sedeti 	сядзець (sjadzjecʹ) 	сидеть (sidetʹ) 	сїдїти (sjidjity) 	сидіти (sydity)														
125	to stand 	стати (stati) 	Stand / stat ++	stát 	stać 	stáť 	stojaś 	stać 	стоя (stoja) 	стои (stoi) 	stati 	стати 	stati 	стаяць (stajacʹ) 	стоять (stojatʹ) 	стояти (stojaty) 	стати (staty), стояти (stojaty)														
126	to turn (change direction) 		<<??	obrátit 	obracać 	otočiť (sa) 	wobrośiś (se) 	wobroćić (so) 	завивам (zavivam) 	врти (vrti) 	skrenuti, obrnuti 	скренути, обрнути 	obrniti 	паварочвацца (pavaročvacca) 	вращать (vraščatʹ), повернуть (povernutʹ) 	обернути (obernuty) 	повертати (povertaty), обертати (obertaty)														
127	to fall (as in drop) 	пасти (pasti), падати (padati) 	<<??	padat, upadnout 	padać 	padať 	padaś 	padać 	падам (padam) 	паѓа (paǵa) 	pasti, padati 	пасти, падати 	padati 	упасьці (upasʹci) 	падать (padatʹ) 	падати (padaty) 	впасти (vpasty), падати (padaty)														
128	to give 	дати (dati), даꙗти (dajati) 	𓂞 dar, dativ! <<	dát 	dać, dawać 	dať, dávať 	dawaś 	dać, dawać 	давам (davam) 	дава (dava) 	dati, davati 	дати, давати 	dajati 	даваць (davacʹ) 	давать (davatʹ), дать (datʹ) 	дати (daty) 	давати (davaty), дати (daty)														
129	to hold (in one's hand) 	дрьжати (drĭžati) 	<<??	držet 	trzymać, dzierżyć 	držať 	źaržaś 	dźeržeć 	държа (dǎrža) 	држи (drži) 	držati 	држати 	držati 	трымаць (trymacʹ) 	держать (deržatʹ) 	держати (deržaty), тримати (trymaty) 	тримати (trymaty), держати (deržaty)														
130	to squeeze 			stlačit, zmáčknout, stisknout 	ściskać, zgniatać 	tlačiť, stlačiť 	tłocyś 	tłóčić 	стискам (stiskam), изцеждам (izceždam) 	стиска (stiska) 	stisnuti, stiskati 	стиснути, стискати 	stiskati 	сьціскаць (sʹciskacʹ) 	сжимать (sžimatʹ), стискивать (stiskivatʹ) 	стисковати (styskovaty) 	стискати (styskaty)														
131	to rub 	трьти (trĭti) 		třít 	trzeć 	trieť 	šurowaś 	šudrować, šurować 	трия (trija) 	трие (trie) 	trljati, trti 	трљати, трти 	treti 	церці (cjerci) 	тереть (teretʹ) 	терти (terty) 	терти (terty)														
132	to wash 	мꙑти (myti) 		mýt, umývat 	myć, prać 	umývať (sa), zmyť (sa) 	myś 	myć 	мия (mija) 	мие (mie) 	prati 	прати 	umivati, prati 	мыць (mycʹ) 	мыть (mytʹ), умывать (umyvatʹ) 	мыти (mŷty) 	мити (myty), вмивати (vmyvaty)														
133	to wipe 			utírat 	wycierać 	utierať 	trěś 	trěć 	бърша (bǎrša) 	брише (briše) 	brisati 	брисати 	brisati 	выціраць (vyciracʹ) 	вытирать (vytiratʹ) 	утерати (uteraty) 	витирати (vytyraty)														
134	to pull 			tahat 	ciągnąć 	ťahať 	śěgaś 	ćahać 	дърпам (dǎrpam) 	влече (vleče) 	vući 	вући 	vleči 	цягнуць (cjahnucʹ) 	тянуть (tjanutʹ), волочить (voločitʹ), тягать (tjagatʹ) 	тягати (tjahaty), тїгати (tjihaty) 	тягнути (tjahnuty), тягти (tjahty), волокти (volokty)														
135	to push 			tlačit 	pchać 	tlačiť 	tłocyś 	tłóčić 	натискам (natiskam), бутам (butam) 	турка (turka), бутка (butka) 	gurati 	гурати 	suniti 	штурхаць (šturxacʹ) 	толкать (tolkatʹ), пихать (pixatʹ) 	пхати (pxaty) 	штовхати (štovxaty), пихати (pyxaty), пхати (pxaty)														
